Title,Type,BodyPart,Level,Time,Sets,B_Reps,I_Reps
Fire Hydrant,Strength,Abductors,Beginner,3,3,10,20
Monster Walk,Strength,Abductors,Intermediate,3,3,10,20
Dynamic pigeon stretch,Strength,Abductors,Intermediate,3,3,10,20
Cross-over jack,Strength,Abductors,Intermediate,3,3,10,20
Traveling thigh killa,Strength,Abductors,Intermediate,3,3,10,20
FYR Thigh Killa,Strength,Abductors,Intermediate,3,3,10,20
HM Frog Stretch,Strength,Abductors,Intermediate,3,3,10,20
HM Kick-Out,Strength,Abductors,Intermediate,3,3,10,20
MetaBurn Groiner,Strength,Abductors,Intermediate,3,3,10,20
Lateral hop,Plyometrics,Adductors,Intermediate,3,3,10,20
Carioca quick step,Plyometrics,Adductors,Intermediate,3,3,10,20
Lateral cone hop,Plyometrics,Adductors,Intermediate,3,3,10,20
Side-To-Side Adductor Stretch,Strength,Adductors,Intermediate,3,3,10,20
HM Left Leg Swing,Strength,Adductors,Intermediate,3,3,10,20
UNS Foam Roll Adductor,Strength,Adductors,Intermediate,3,3,10,20
Side-lying leg adduction scissor,Strength,Adductors,Intermediate,3,3,10,20
TBS Chin-Up,Strength,Biceps,Intermediate,3,3,10,20
Pull-up - Gethin Variation,Strength,Biceps,Intermediate,3,3,10,20
UN Pull-Up Supinated,Strength,Biceps,Intermediate,3,3,10,20
UN Pull-Up Pronated,Strength,Biceps,Intermediate,3,3,10,20
UN Pull-Up Neutral,Strength,Biceps,Intermediate,3,3,10,20
Standing Calf Raise,Strength,Calves,Intermediate,3,3,10,20
Standing calf raise-,Strength,Calves,Intermediate,3,3,10,20
HM Left Calf-Spike Sumo Pulse,Strength,Calves,Intermediate,3,3,10,20
Incline Push-Up Depth Jump,Plyometrics,Chest,Intermediate,3,3,10,20
Plyo push-up,Plyometrics,Chest,Beginner,3,3,10,20
Isometric Chest Squeezes,Plyometrics,Chest,Beginner,3,3,10,20
Superman Push-Up,Plyometrics,Chest,Beginner,3,3,10,20
Clapping Push-Up,Plyometrics,Chest,Beginner,3,3,10,20
Triple Clap Push-Up,Plyometrics,Chest,Beginner,3,3,10,20
Pushups,Strength,Chest,Intermediate,3,3,10,20
Incline Push-Up,Strength,Chest,Intermediate,3,3,10,20
Hands-elevated push-up,Strength,Chest,Beginner,3,3,10,20
Decline Push-Up,Strength,Chest,Intermediate,3,3,10,20
Single-Arm Push-Up,Strength,Chest,Beginner,3,3,10,20
Close push-up to wide push-up,Strength,Chest,Intermediate,3,3,10,20
Wide-grip hands-elevated push-up,Strength,Chest,Beginner,3,3,10,20
Push-Ups With Feet On An Exercise Ball,Strength,Chest,Intermediate,3,3,10,20
Feet-elevated push-up,Strength,Chest,Intermediate,3,3,10,20
Isometric Wipers,Strength,Chest,Beginner,3,3,10,20
Clock push-up,Strength,Chest,Beginner,3,3,10,20
Push-Up Wide,Strength,Chest,Beginner,3,3,10,20
Sphinx push-up,Strength,Chest,Intermediate,3,3,10,20
Close-Hands Push-Up,Strength,Chest,Beginner,3,3,10,20
Tiger-bend push-up,Strength,Chest,Beginner,3,3,10,20
Close-grip hands-elevated push-up,Strength,Chest,Intermediate,3,3,10,20
Suspended push-up,Strength,Chest,Intermediate,3,3,10,20
Push Up to Side Plank,Strength,Chest,Intermediate,3,3,10,20
Side-to-side push-up,Strength,Chest,Beginner,3,3,10,20
Typewriter push-up,Strength,Chest,Beginner,3,3,10,20
Diamond push-up,Strength,Chest,Intermediate,3,3,10,20
Judo push-up,Strength,Chest,Beginner,3,3,10,20
Wide push-up,Strength,Chest,Beginner,3,3,10,20
One-Arm Push-Up,Strength,Chest,Beginner,3,3,10,20
Staggered push-up,Strength,Chest,Beginner,3,3,10,20
Reverse-grip hands-elevated push-up,Strength,Chest,Beginner,3,3,10,20
Side kick-through push-up,Strength,Chest,Intermediate,3,3,10,20
FYR Push-Up,Strength,Chest,Intermediate,3,3,10,20
Frog push-up,Strength,Chest,Intermediate,3,3,10,20
Wide push-up plank hold,Strength,Chest,Intermediate,3,3,10,20
Close push-up,Strength,Chest,Intermediate,3,3,10,20
Push-Up - Gethin Variation,Strength,Chest,Intermediate,3,3,10,20
HM Incline Push-Up On Chair,Strength,Chest,Intermediate,3,3,10,20
HM Push-Up,Strength,Chest,Intermediate,3,3,10,20
HM Push-Plank,Strength,Chest,Intermediate,3,3,10,20
AM Chest Dips,Strength,Chest,Intermediate,3,3,10,20
Push-up,Strength,Chest,Intermediate,3,3,10,20
UP Push-up,Strength,Chest,Intermediate,3,3,10,20
UN Push-Up,Strength,Chest,Intermediate,3,3,10,20
UNS Foam Roll Pecs,Strength,Chest,Intermediate,3,3,10,20
UN Hands Elevated Push-Up,Strength,Chest,Intermediate,3,3,10,20
Holman Seal Drag to Push-Up,Strength,Chest,Intermediate,3,3,10,20
Holman Hand-Elevated Push-Up with Hand Row,Strength,Chest,Intermediate,3,3,10,20
Holman Push-Up,Strength,Chest,Intermediate,3,3,10,20
Holman Slow Hips-Up Chest Press,Strength,Chest,Intermediate,3,3,10,20
Holman Jump-Out Push-Up with Hand Hop Back,Strength,Chest,Intermediate,3,3,10,20
Holman Froggy Push-Up to Donkey Kick,Strength,Chest,Intermediate,3,3,10,20
Holman Push-Up to Sit Back,Strength,Chest,Intermediate,3,3,10,20
Holman Sit Back Push-Up,Strength,Chest,Intermediate,3,3,10,20
Holman Alternating Staggered Push-Up,Strength,Chest,Intermediate,3,3,10,20
Holman Foot-Up Diving Push-Up,Strength,Chest,Intermediate,3,3,10,20
Holman Narrow Push-Up,Strength,Chest,Intermediate,3,3,10,20
Holman Dynamo Push-Up,Strength,Chest,Intermediate,3,3,10,20
Holman Jump to Push-Up,Strength,Chest,Intermediate,3,3,10,20
Holman Foot-Elevated Push-Up,Strength,Chest,Intermediate,3,3,10,20
Holman Feet-Elevated Push-Up,Strength,Chest,Intermediate,3,3,10,20
Total Fitness Plyo Push-Up,Strength,Chest,Intermediate,3,3,10,20
Scapular push-up,Strength,Chest,Intermediate,3,3,10,20
King Maker Push-up,Strength,Chest,Intermediate,3,3,10,20
Warrior push-up,Strength,Chest,Intermediate,3,3,10,20
Taylor Roll-Over Push-Up,Strength,Chest,Intermediate,3,3,10,20
Taylor One-Arm Push-Up Slow Negative,Strength,Chest,Intermediate,3,3,10,20
30 Chest Push-Up To Isometric Hold,Strength,Chest,Intermediate,3,3,10,20
30 Chest Push-Up,Strength,Chest,Intermediate,3,3,10,20
30 Chest Bench Push-Up,Strength,Chest,Intermediate,3,3,10,20
MetaBurn 3-Phase Push-Up,Strength,Chest,Intermediate,3,3,10,20
MetaBurn Fast Feet To Push-Up,Strength,Chest,Intermediate,3,3,10,20
